p1_uid,p2_uid
P0A832,P0A8M6
P33371,P32053
P20083,P0A6I9
P75829,P0A7V3
P0A7R9,P0A7Y8
P37195,P69407
P0A850,P0A800
P45468,P37440
P69407,P39838
P37747,P11868
P11880,P76339
P0A720,P0A7K2
P0AGJ5,P0AGK4
P0A817,P0AGD7
P0ABT2,P0A9P6
P0C018,P0A7Y8
P0A8D0,P00961
P60624,P0A9P6
P0AGK4,P0A7J7
P0A7M2,P0AGE0
P0A7G6,P0CG19
P0A6F5,P0AEM9
P04995,P0A7Y4
P0A7S3,P33224
P0AED9,P0A7V3
P0C018,P0AG24
P0AGJ5,P0A7Y8
P0A7L0,P33224
P0A894,P0A6F5
P0A9X1,P0A6F5
P0A6X3,P0A9M0
P0A7R5,P06612
P69346,P69348
P04951,P67430
P0A8V2,P0A7K2
P75728,P33230
P08400,P0AFJ5
P75829,P0A7K2
P0A8I5,P0A9P6
P0A9W0,P0A7K2
P0AAS7,P33224
P14081,P0AGJ5
P0AGJ5,P0A968
P60785,P15032
P60785,P0A6C5
P00582,P00490
P0A7R1,P21499
P67762,P37765
P02358,P0A8I5
P08622,P0A817
P68739,P0A6X3
P76594,P76539
P0A8I5,P00962
P0A7E9,P60422
P00490,P0A7Y4
P09348,P10408
P0AGB3,P0A7Z4
P0A7R1,P0AAS7
P0A972,P05055
P0AAH0,P0AES4
P0A853,P0A8N5
P0ADZ0,P08622
P0A7M6,P0A7Y8
P0A9W0,P0A6F5
P60624,P0A9Y6
P0ABT2,P67910
P0A7S9,P0A8M3
P0A707,P02358
P0AGE0,P0ACF0
P0A8N3,Q46802
P0ADZ0,P0A9Y6
P36979,P0AGK4
P0C054,P0A817
P77329,P0AAM3
P0A968,P77308
P0AAS7,P08622
P0A972,P37765
P0A715,P0AG48
P45523,P10378
P0A6X3,P0A799
P0A9Y6,P37634
P37908,P0A8L1
P0AAH0,P0CG19
P0AG99,P0AGA2
P22523,P60422
P0ACG8,P75954
P75863,P38038
P67910,P76503
P0AEG4,P75978
P62617,P0A7R5
P32177,P0A8N5
P0A7J0,P39830
P0A7T7,P05055
P0AF26,P15034
P39286,P0A7K2
P0A968,P0A6J8
P14081,P0AG48
P0A7Z4,P0AG59
P23830,P0A7V8
P0A7K2,P0AEN8
P0A812,P0AG30
P0AG67,P0ABH9
P0A7R1,P0A9M0
P0A9W0,P0A7S3
P0AGJ2,P0AG24
P02358,P0A8G0
P0AA43,P0A7V8
P76069,P43672
P77333,P76558
P21645,P60723
P0A809,P21893
P0A8I5,P60723
P0ADZ0,P0A7Z4
P0AGA2,P10408
P0A7L0,P21499
P0A707,P0A7T7
P0A847,P0AG48
P0A968,P68679
P0A7L0,P60723
P07004,P16676
P0A7K6,P0A9X9
P0ABH9,P0A6Q6
P02358,P0A9Y6
P21513,P21499
P63389,P0AFG3
P0A7S9,P75829
P30958,P0AAD8
P0A9Z1,P0AF90
P0AF90,P37773
P21513,P0A9P6
P0AA04,P0AC86
P39286,P71241
P30750,P03018
P77399,P04825
P22939,P33221
P06722,P23367
P0AEM0,Q46861
P0ADZ0,P0A7E9
P62399,P0A6Q6
P0A9H7,P0ACD4
P0AGJ5,P68679
P76552,P17169
P05041,P39286
P0ADZ0,P60723
P15877,Q46925
P36560,P0A6P1
P0A6R3,P0ACF4
P0A6Y5,P33593
P0A6M8,P39286
P15032,P0AE18
P0AES4,P0A817
P23830,P0A7V3
P0A7L0,P0A9Y6
P0A7K2,P0AFP2
P75767,P0AEW6
P14294,P0A7K6
P77625,P36659
P69407,P38134
P33934,P0AAZ4
P0ACF4,P0AFY8
P0A9M0,P0A7V3
P76578,P0A7K2
P32704,P0AAT6
P60624,P14081
P0ABQ4,P80645
P28629,P60422
P0A8N3,P39346
P0CE48,P0A6P1
P77169,P0A8N5
P60624,P0AGE0
P67910,P0CG19
P46889,P0A9A6
P0A7M2,P69407
P0A8G0,P0AG48
P76104,P0A7L3
P21499,P0A9P6
P0AGE0,P69908
P0A8A0,P50457
P0A910,P0A850
P0A9P6,P43329
P02930,P0AE06
P0C018,P0ACN4
P10441,P0CE48
P0A9X4,P0C058
P0A832,P0AES4
P0A9P6,P0AG59
P06136,P0AEN4
P0A7U7,P0A8G0
P0ABH9,P0AG30
P10443,P0AG67
P69913,P0A6X3
P0A7X3,P0A9P6
P0A8G0,P77172
P0ACD4,P11557
P0A832,P0ACF4
P0A780,P0A7R5
P0AE06,P31224
P69425,P69423
P0A776,P0AA10
P36979,P0AG67
P0ADY7,P0A9P6
P31806,P0A8G0
P0A8E5,P33937
P0A8V2,P0ACF0
P0A6X3,P60422
P00579,P0A9B2
P14081,P02413
P75791,P10408
P0ABT2,P0AEU7
P07118,P75767
P0A8I5,P0A7V3
P0A968,P0A7L0
P03018,P23367
P0A6X3,P75864
P0ACF0,P21499
P0A7D4,P0AF67
P25522,P0A6U3
P67910,P33225
P14081,P68919
P0A6A0,P0ACJ8
P0A7V3,P0A6Q6
P0A7T3,P0A7Y8
P0A7S9,P60723
P0A7M2,P0A847
P0ADZ4,P0A7Z4
P0AAZ4,P0A7K2
P02358,P33224
P0A9P6,P0A847
P0A8E5,P0A6X3
P24255,P0AA10
P0A9M0,P0AA10
P25522,P75786
P0A7M2,P76594
P02930,P75830
P0A6Y5,P0AEC3
P13458,P0A9R7
P0AE67,P07363
P0ACF0,P0A9P6
P0A6U5,P31224
P15038,P0A799
P17888,P0A7Y4
P60723,P0AA10
P67910,P16528
P0A7D7,P06961
P0AEG4,P07018
P0ADZ0,P21499
P24255,P69797
P0AGE0,P0A7K2
P0A8N3,P0A8N5
P0A800,P30139
P0AGE0,P0A6A0
P0A6X3,P0A9P6
P0AGE0,P0A7K6
P0A6M8,P0A9A6
P0A972,P0AD01
P60624,P0A715
P0AAT6,P60723
P0A9X4,P36979
P0A800,P0A7Z4
P0A7R1,P76104
P0A7Y8,P0A7K2
P0ABH9,P0AGD7
P0AF67,P0A7K2
P0A8G0,P0A8F8
P0A7S9,P0AGJ5
P77293,P77399
P0A763,P0AC28
P0A968,P0AG30
P0A890,P0A9B2
P21499,P0A7V3
P0A8J8,P0A7J7
P0A6I6,P22188
P0A7T7,P0ADH5
P07395,P0AG90
P69407,P33231
P60723,P0AG30
P0A8G0,P0AA10
P60716,P17952
P0A715,P67910
P0A8V2,P0AFF6
P75782,P0AC28
P07395,P32715
P0A9W0,P0A7U7
P43329,P37765
P0A7K2,P03004
P0A832,P0AES6
P0A8V2,P0AG30
P0ABT2,P0ADZ0
P0A7Y8,P0AG59
P0AEE8,P13035
P0AGK4,P60723
P0A6F5,P0A6F9
P0AGE0,P60723
P0A7U7,P0A8J8
P0A8A4,P33643
P0A850,P0AAM3
P0A9W0,P0A7L0
P77561,P77704
P14081,P0A7K2
P33128,P0A6P1
P75966,P0ADK8
P0A8E5,P05055
P0A705,P0AFF6
P0ABG4,P0AD68
P0A6X3,P0A972
P39099,P0A749
P0A7M2,P21893
P0AEM9,P75767
P0AES6,P20083
P0A7W7,P0A9P6
P36979,P0A7V3
P0A6F5,P0AC28
P21513,P0AG48
P0A6H1,P0A817
P0A7T3,P36979
P30750,P16433
P0A9A6,P22333
P0A7U7,P76594
P0ABS8,P0A7K2
P31119,P10408
P0A6R3,P30139
P14294,P21893
P76128,P0A6J8
P0A7G6,P0A817
P0A8P8,P0A6A8
P77488,P0AAH0
P23482,P22188
P27836,P0A7Z4
P0A7R5,P37765
P0AG11,P04152
P0A9W0,P0A7K6
P0AAT6,P76015
P60624,P75829
P0ADY3,P03004
P0A6Z3,P75862
P0A7M2,P0A8E5
P0A7D7,P0A6F5
P28224,P0ACG8
P0A6X3,P0ACF4
P0A6F5,P0A9R7
P23830,P0A7K2
P39328,P17952
P39199,P0A7R5
P68739,P00914
P0A6H1,P0AFZ3
P28629,P0C0R7
P0A6C1,P0A9M0
P0A7M2,P0A6X3
P0A8N5,P0A8G6
P0A832,P00490
P0AGE0,P17888
P0ABH9,P16918
P07004,P0AFT5
P0A8V2,P0A7R5
P76594,P0AG59
P68183,P02916
P33593,P0A6F5
P23869,P16918
P0A9X1,P0A7K2
P52052,P0A6Z3
P0A953,P0A6A8
P0AF67,P09373
P11875,P0A8A0
P60785,P33025
P0ACF0,P00490
P36979,P33021
P12996,P10408
P0AGJ5,P0A9P6
P60624,P0A968
P0A707,P68679
P24182,P45768
P07004,Q46840
P0A7C2,P0A7G6
P62399,P37765
P0ACB0,P03004
P0A8J8,P0AG48
P0AGJ5,P0A7T3
P0AFG0,P0A7K2
P36979,P05055
P0AGJ5,P0A847
P0A9P6,P0A776
P76594,P0AA10
P69786,P69783
P32177,P0A6B7
P0ABD8,P15038
P0AAH0,P0A9X4
P03004,P0CE48
P0A715,P60723
P36979,P0A7R5
P0A715,P0A7V3
P0A8G0,P0A7S3
P0AGE0,P24230
P08312,P0AD99
P0AAS7,P37634
P0AG24,P0AG48
P23845,P0A8H8
P0C054,P06993
P02930,P31224
P03004,P0AG59
P37765,P37634
P0A722,Q46920
P0A8E5,P0A7V8
P02358,P0A8E5
P0AG48,P33224
P0A9P6,P68679
P0C058,P22333
P0A707,P0A7J7
P0A7D7,P31463
P0AES4,P0AF03
P36659,P0A7V3
P0A8E5,P77398
P0AF90,P60560
P77717,P0AFG6
P75838,P32721
P67910,P39177
P0A968,P0A7V8
P21513,P60723
P18843,P03004
P60723,P05055
P37349,P76558
P0A7K6,P0ACN4
P68739,P0A6F5
P0A8G0,P0A7L0
P0AGE0,P00490
P31063,P0AG07
P0A7U7,P0A799
P0A8J8,P0A7V8
P0A6R3,P03018
P0A7M2,P0A738
P77488,P0A7G6
P0AG44,P0A776
P0AED9,P0AA10
